0id	1id_user	2username	3text	4lang	5likes	6reply	7retweet	8retweet_from	9time	10followings	11followers	12link_cover	13vid_src	14vid_cover	15imgs
1247616214769086465	12	jack	I’m moving $1B of my Square equity (~28% of my wealth) to #startsmall LLC to fund global COVID-19 relief. After we disarm this pandemic, the focus will shift to girl’s health and education, and UBI. It will operate transparently, all flows tracked here: 	en	314769	15485	87760		2020-04-07T20:04:19.000Z	4,508	4,769,963				
1291437439630708736	12	jack	Introducing Talking Squarely, candid conversations with business owners about the issues impacting their lives, from navigating the pandemic to the changing rules of commerce. Listen wherever you get your podcasts. 	en	376	48	110	Square	2020-08-06T18:14:14.000Z	4,508	4,769,963				
1291405157838684160	12	jack	When it comes to conversations with government and state-affiliated media accounts on Twitter, we’re helping to make the experience more transparent. We'll now use two distinct profile labels for these types of accounts, so you can easily identify them and their Tweets. (1/2) 	en	6941	617	2827	TwitterSupport	2020-08-06T16:05:57.000Z	4,508	4,769,963				https://pbs.twimg.com/media/Eev8wWmU0AATN1q?format=jpg&amp;name=240x240 https://pbs.twimg.com/media/Eev9CIFVAAEXPJY?format=jpg&amp;name=240x240
1291055240658198533	12	jack	BREAKING: Iowa Governor Kim Reynolds just restored voting rights to tens of thousands of Iowans with former convictions by executive order. This comes with no requirements to pay off fees and fines. 	en	85969	506	16808	BrennanCenter	2020-08-05T16:55:30.000Z	4,508	4,769,963				
1291024141273923586	12	jack	Design all the things 	en	1030	176	131		2020-08-05T14:51:56.000Z	4,508	4,769,963				
1290697810589839363	12	jack	Glow ((🌕)) 	en	2049	244	249		2020-08-04T17:15:12.000Z	4,508	4,769,963				
1290268789553025025	12	jack	. @HumanityForward is now teaming up with @1kprojectorg to distribute cash relief to individuals! This way we can increase the impact and help donors see the people they are helping ((🙏)) 	en	1803	69	445	AndrewYang	2020-08-03T12:50:26.000Z	4,508	4,769,963				
1290324130844352523	12	jack	Back in stock. Update your Cash App to order the HBA Cash Card. All proceeds will be donated to support BIPOC, LGBTQIA+, police reform, and community arts charities. To order, tap the Cash Card tab on your home screen now. 	en	1366	623	290	CashApp	2020-08-03T16:30:20.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EegmEFuWsAQ3pSY?format=png&amp;name=360x360
1288860277807566848	12	jack	Finally, we aren’t just advocating for an open internet, we’re doing our part to make it more open. Putting our resources behind an open and decentralized standard for social media, @bluesky : 	en	631	182	115		2020-07-30T15:33:30.000Z	4,508	4,769,963				
1288860276641509378	12	jack	Ensuring competition on a level playing field for all on the internet, and truly understanding the fundamental dynamics that underlie internet speech, will strengthen what the internet can be for everyone around the world. 	en	538	96	104		2020-07-30T15:33:30.000Z	4,508	4,769,963				
1288860275005771777	12	jack	The second is for the outcomes of content moderation to be a reductive and binary “leave up” or “take down.” This distracts from a more important focus on amplification, reach, and connecting disparate information to provide richer context. 	en	321	23	50		2020-07-30T15:33:30.000Z	4,508	4,769,963				
1288860273487446016	12	jack	The first is a number of large organizations effectively building walled-garden alternative internets, sustained by favorable regulation, and thus killing competing ideas and organizations that could be better for society. 	en	362	16	58		2020-07-30T15:33:29.000Z	4,508	4,769,963				
1288860272250126340	12	jack	The power of the internet is only as good as the power it gives to individual people. The more we do to advance that, the stronger it becomes. This underlies all else. But there are two emergent and growing threats. 	en	494	30	61		2020-07-30T15:33:29.000Z	4,508	4,769,963				
1288860270635311106	12	jack	The most incredible aspect of the internet is that no one person or organization controls it: the people make it what it is every day. That ideal is constantly under threat, especially today. We commit as a company to fighting for an #OpenInternet . 	en	7724	1284	1547		2020-07-30T15:33:29.000Z	4,508	4,769,963				
1288641347914694657	12	jack	We invite you to hear from Lauren Stovall, marketing director and legacy preserver as she speaks with @Square about how we have been weathering the storm and surviving the storm that we are all still in. Click and share the link below: https://youtu.be/o7hTsz0arss 	en	166	21	40	hotsamsdetroit	2020-07-30T01:03:33.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EeIsedPXoAI1T-N?format=jpg&amp;name=360x360
1288167477705203712	12	jack	Following up on the commitment I made last year to give away the majority of my wealth in my lifetime: https://bit.ly/3f8xSVO . (Note my Medium account is under my new last name -- changed back to middle name I grew up with, after my grandfather Scott.) 	en	12938	2219	3448	mackenziebezos	2020-07-28T17:40:34.000Z	4,508	4,769,963				
1288229597746733056	12	jack	No better time to explore another planet. Join astronauts @maejemison and @AstroJaws for the launch of the @NASAPersevere Mars rover at 7AM ET on Thursday, July 30th. 	en	9559	568	2041	TwitterLive	2020-07-28T21:47:24.000Z	4,508	4,769,963				
1286794822955626496	12	jack	Thank you Aaron for your incredible sense of humor and playfulness, your constant willingness to raise the bar on yourself and us, your clear and direct principles, and always teaching us everything you learned along the way. “No comment” on your always predictable attire. ((👕)) 	en	551	104	41		2020-07-24T22:46:07.000Z	4,508	4,769,963				
1286794821785366528	12	jack	Thank you Sam for always being principled and philosophical, for your quiet strength and humility, and your steady calm in the face of a very complicated role and set of challenges. And thanks for always throwing cold water on whatever I was most excited about ((😉)) 	en	567	57	50		2020-07-24T22:46:07.000Z	4,508	4,769,963				
1286794820556480512	12	jack	End of a chapter at Square as @emerose and @zamosta move on. Both were foundational in making us the company we are today. I feel sad to see them go, but I know both will continue to make everyone, and everything around them, strong, healthy, and happy. 	en	1722	288	137		2020-07-24T22:46:07.000Z	4,508	4,769,963				
1284511080715362304	12	jack	This changes everything. ((🤯)) With GPT-3, I built a Figma plugin to design for you. I call it "Designer" 	en	13019	393	4494	jsngr	2020-07-18T15:31:21.000Z	4,508	4,769,963		blob:https://twitter.com/30948ac0-18b4-4ff2-afa8-30416d156fa2	https://pbs.twimg.com/ext_tw_video_thumb/1284507868155322370/pu/img/FbZhsfHh9atgvVC0.jpg	
1284499243747684352	12	jack	As extremely powerful people publish statements praising John Lewis, important to remember that the Voting Rights Act remains gutted and it has been years since the last significant chance of its restoration and that the bridge on which Lewis bled remains named for a Klansman 	en	43984	197	13615	WesleyLowery	2020-07-18T14:44:19.000Z	4,508	4,769,963				
1284349602049687552	12	jack	Elders, now ancestors. Hallelujah. 	en	145723	320	27033	BerniceKing	2020-07-18T04:49:41.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdLtJ0_XYAAycFp?format=jpg&amp;name=240x240 https://pbs.twimg.com/media/EdLtJ1AX0AAPCOp?format=jpg&amp;name=240x240
1284344118420750337	12	jack	“Even though I was under arrest, I smiled because I believed we were on the right side of history. You too must find a way to get in the way.” -John Lewis ((❤️)) 	en	32640	51	6726	niccolethurman	2020-07-18T04:27:54.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdLoKsCVAAE1u4e?format=jpg&amp;name=360x360
618113562809077760	12	jack	You are never too young or too old to get in good trouble, necessary trouble. #goodtrouble 	en	18942	134	10769	repjohnlewis	2015-07-06T17:45:32.000Z	4,508	4,769,963				https://pbs.twimg.com/media/CJP7AiuWEAAAg0t?format=jpg&amp;name=240x240 https://pbs.twimg.com/media/CJP7AlwWsAEuqSq?format=jpg&amp;name=240x240
1284342322805772288	12	jack	Hero is too small a word for a man who served as the conscience of our nation. They beat him up on that bridge in Selma but they could not beat him down. He stayed humble. Stayed optimistic. Stayed ready. Stayed in the struggle. And we will stay forever grateful. Goodbye, Sir 	en	3481	33	737	michele_norris	2020-07-18T04:20:46.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdLmiPqXYAE-zTI?format=jpg&amp;name=360x360
1284340800441049088	12	jack	“Young man, you have to get in the way, make change, make good trouble!” Are the words John Lewis spoke to me as a 21 year old college senior running for city council. They have stuck with me ever since. His life and leadership are examples to emulate. RIP to the ((🐐)) . ((✊🏿)) ((🖤)) ((🙏🏾)) 	en	3245	36	514	MichaelDTubbs	2020-07-18T04:14:43.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdLlI7sUwAMa12o?format=jpg&amp;name=360x360
1284339740183912448	12	jack	#goodtrouble ((💔)) 	und	8790	456	973		2020-07-18T04:10:30.000Z	4,508	4,769,963				
1284239510113521667	12	jack	So so so so SORRY Breonna! #JusticeforBreonnaTalyor ((🙏🏾)) ((❤️)) 	en	149290	941	37706	KingJames	2020-07-17T21:32:13.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdKJBr3WkAgDfgt?format=jpg&amp;name=360x360
1283957910708662273	12	jack	We want to share some more specific updates coming out of the second day of our investigations. 	en	1094	96	296	TwitterSupport	2020-07-17T02:53:15.000Z	4,508	4,769,963				
1283843497900904448	12	jack	If your account was locked, this does not necessarily mean we have evidence that the account was compromised or accessed. So far, we believe only a small subset of these locked accounts were compromised, but are still investigating and will inform those who were affected. 	en	1232	94	332	TwitterSupport	2020-07-16T19:18:37.000Z	4,508	4,769,963				
1283843494461624320	12	jack	Here’s an update addressing questions we’ve heard around passwords and account access specifically: 	en	1148	35	416	TwitterSupport	2020-07-16T19:18:36.000Z	4,508	4,769,963				
1283856207036309504	12	jack	Another update on our security incident 	en	1070	154	166		2020-07-16T20:09:07.000Z	4,508	4,769,963				
1283608961816465410	12	jack	For those asking, we've always been clear that not all Tweets or accounts can appear in Trends or search. More here: https://help.twitter.com/en/using-twitter/twitter-trending-faqs Key parts in the screenshots. 	en	468	168	221	bborrman	2020-07-16T03:46:39.000Z	4,508	4,769,963				https://pbs.twimg.com/media/EdBLe6kUYAAXO4-?format=jpg&amp;name=small https://pbs.twimg.com/media/EdBLgjEU0AE7bZV?format=jpg&amp;name=small
1283594553618911232	12	jack	An update 	en	5386	539	1324		2020-07-16T02:49:24.000Z	4,508	4,769,963				
1283571658339397632	12	jack	Tough day for us at Twitter. We all feel terrible this happened. We’re diagnosing and will share everything we can when we have a more complete understanding of exactly what happened. ((💙)) to our teammates working hard to make this right. 	en	105766	9192	18437		2020-07-16T01:18:25.000Z	4,508	4,769,963				
1283246535958908928	12	jack			1256	154	149		2020-07-15T03:46:30.000Z	4,508	4,769,963				https://pbs.twimg.com/media/Ec8B7BWU0AU576q?format=jpg&amp;name=360x360
